episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
82,100,7689.57303,116.4927,0.45968,10,8.92518,0.5,0.0,0.5,0.0,5.0,0.27183,0.14307,0.12876,0.72817,1.0,0,15,0,5,397.86637,0.0,56.99742
83,100,7752.22896,62.65593,0.37251,8,6.92484,0.5,0.0,0.5,0.0,5.0,0.39102,0.1995,0.19152,0.60897,1.0,0,17,0,4,345.07274,0.0,56.99855
84,100,7824.56237,72.33341,0.43224,14,12.7161,0.5,0.0,0.5,0.0,6.0,0.6129,0.32258,0.29032,0.3871,1.0,0,14,0,7,475.38721,0.0,56.99327
85,100,7933.2251,108.66273,0.41601,25,22.82873,0.72974,0.0,0.27026,0.0,13.0,0.73316,0.38345,0.34971,0.26684,1.0,0,7,0,13,502.50973,0.0,55.99318
86,100,7995.48712,62.26202,0.39647,9,8.23056,0.75,0.0,0.25,0.0,4.0,0.46577,0.24092,0.22486,0.53423,1.0,0,15,0,5,511.89977,0.0,55.01077
87,100,8048.32053,52.83341,0.38503,7,6.30401,0.74975,0.0,0.25025,0.0,4.0,0.39432,0.20505,0.18927,0.60568,1.0,0,16,0,3,689.55576,0.0,55.99977
88,100,8136.48727,88.16674,0.42349,20,18.52377,0.69839,0.0,0.30161,0.0,15.0,0.75047,0.38752,0.36295,0.24953,1.0,0,11,1,11,578.6948,0.0,55.00947
89,100,8227.82067,91.3334,0.30255,22,20.55105,0.73034,0.0,0.26966,0.0,7.0,0.80292,0.41971,0.38321,0.19708,1.0,0,9,1,12,472.79124,0.0,53.99603
90,100,8310.82074,83.00007,0.48924,15,12.96921,0.75,0.0,0.25,0.0,11.0,0.68675,0.36145,0.3253,0.31325,1.0,0,13,4,9,779.2871,0.0,54.01849
91,100,8416.32081,105.50007,0.45784,27,25.24106,0.75,0.0,0.25,0.0,16.0,0.88626,0.45024,0.43602,0.11374,1.0,0,6,3,16,691.90035,0.0,52.01436
92,100,8508.65421,92.3334,0.41713,24,22.15702,0.77168,0.0,0.22187,0.00645,16.0,0.80505,0.41516,0.38989,0.19495,1.0,0,9,0,12,331.20146,0.06304,51.98742
93,100,8600.15428,91.50007,0.45128,23,18.53255,0.63028,0.0,0.26951,0.10021,10.0,0.80328,0.40984,0.39344,0.19672,1.0,0,9,0,13,298.07469,1.07273,49.02085
94,100,8689.82101,89.66673,0.3713,22,19.57927,0.69673,0.0,0.25,0.05327,11.0,0.77695,0.40892,0.36803,0.22305,1.0,0,10,0,11,311.55598,0.54341,49.013
95,100,8796.32108,106.50006,0.37652,33,29.16588,0.64462,0.0,0.30953,0.04585,13.0,0.94366,0.49296,0.4507,0.05634,1.0,0,3,0,15,335.78358,0.5737,51.98137
96,100,8859.25884,62.93776,0.46044,10,9.04647,0.625,0.0,0.375,0.0,2.0,0.47137,0.26481,0.20655,0.52863,1.0,0,13,0,3,560.10932,0.0,55.9968
